# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
118           	1.162465e-01	1.607591e-02	3.138960e-02
119           	1.150757e-01	1.604316e-02	3.148853e-02
120           	1.127232e-01	1.604074e-02	3.156054e-02
121           	1.093300e-01	1.606778e-02	3.148544e-02
122           	1.056223e-01	1.610533e-02	3.141880e-02
123           	1.011097e-01	1.613733e-02	3.120351e-02
124           	9.923336e-02	1.614726e-02	3.088341e-02
125           	9.847039e-02	1.615522e-02	3.063439e-02
126           	9.942642e-02	1.619129e-02	3.031956e-02
127           	9.990636e-02	1.623943e-02	2.996585e-02
128           	1.000021e-01	1.628636e-02	2.973447e-02
129           	9.921592e-02	1.629908e-02	2.934363e-02
130           	9.843399e-02	1.630953e-02	2.902174e-02
131           	9.881832e-02	1.631194e-02	2.874894e-02
132           	9.862029e-02	1.630411e-02	2.846515e-02
133           	9.821990e-02	1.631000e-02	2.832363e-02
134           	9.747670e-02	1.630223e-02	2.825869e-02
135           	9.648612e-02	1.630055e-02	2.822536e-02
136           	9.498146e-02	1.630206e-02	2.828492e-02
137           	9.359544e-02	1.631496e-02	2.841665e-02
138           	9.258939e-02	1.635143e-02	2.861076e-02
139           	9.222165e-02	1.639365e-02	2.885115e-02
140           	9.234813e-02	1.644741e-02	2.916582e-02
141           	9.328647e-02	1.650899e-02	2.950302e-02
142           	9.531223e-02	1.657533e-02	2.980341e-02
143           	9.750509e-02	1.664034e-02	3.005861e-02
144           	9.976207e-02	1.672366e-02	3.030363e-02
145           	1.022894e-01	1.680371e-02	3.055671e-02
146           	1.057119e-01	1.692304e-02	3.078899e-02
147           	1.099720e-01	1.706639e-02	3.099125e-02
148           	1.142254e-01	1.724486e-02	3.118153e-02
149           	1.171096e-01	1.742556e-02	3.138301e-02
150           	1.198545e-01	1.761642e-02	3.152744e-02
151           	1.228186e-01	1.785313e-02	3.165681e-02
152           	1.272083e-01	1.814340e-02	3.178722e-02
153           	1.342430e-01	1.847879e-02	3.195771e-02
154           	1.445894e-01	1.891129e-02	3.221585e-02
155           	1.529418e-01	1.947977e-02	3.240831e-02
156           	1.541256e-01	2.005474e-02	3.249724e-02
157           	1.616432e-01	2.058592e-02	3.254610e-02
158           	1.710336e-01	2.120673e-02	3.265209e-02
159           	1.846402e-01	2.207959e-02	3.292302e-02
160           	1.988610e-01	2.298127e-02	3.316591e-02
161           	1.872459e-01	2.353916e-02	3.280334e-02
162           	2.250177e-01	2.413802e-02	3.255681e-02
163           	2.109559e-01	2.532684e-02	3.280714e-02
164           	1.911523e-01	2.595932e-02	3.249831e-02
165           	1.937114e-01	2.637979e-02	3.206634e-02
166           	1.825945e-01	2.702434e-02	3.183941e-02
167           	1.950927e-01	2.748801e-02	3.154213e-02
168           	1.870569e-01	2.811548e-02	3.160804e-02
169           	1.852898e-01	2.861233e-02	3.143973e-02
170           	1.875635e-01	2.896936e-02	3.120542e-02
171           	1.852855e-01	2.931910e-02	3.092830e-02
172           	1.841428e-01	2.951318e-02	3.075952e-02
173           	1.780379e-01	2.965543e-02	3.077955e-02
174           	1.753383e-01	2.969449e-02	3.077555e-02
175           	1.730069e-01	2.971156e-02	3.080053e-02
176           	1.725597e-01	2.966447e-02	3.082335e-02
177           	1.691881e-01	2.951069e-02	3.087213e-02
178           	1.667157e-01	2.927036e-02	3.102717e-02
179           	1.635445e-01	2.892647e-02	3.126324e-02
180           	1.630418e-01	2.858644e-02	3.150049e-02
181           	1.622964e-01	2.829785e-02	3.180819e-02
182           	1.592466e-01	2.808516e-02	3.213092e-02
183           	1.542808e-01	2.785244e-02	3.251231e-02
184           	1.527347e-01	2.764927e-02	3.300164e-02
185           	1.542807e-01	2.734044e-02	3.344502e-02
186           	1.530818e-01	2.689834e-02	3.373418e-02
187           	1.540449e-01	2.644756e-02	3.406252e-02
188           	1.544170e-01	2.609016e-02	3.446337e-02
189           	1.545222e-01	2.577838e-02	3.485105e-02
190           	1.547767e-01	2.543647e-02	3.517069e-02
191           	1.555587e-01	2.504421e-02	3.541059e-02
192           	1.555218e-01	2.461370e-02	3.560672e-02
193           	1.557347e-01	2.418043e-02	3.583729e-02
194           	1.548813e-01	2.373649e-02	3.601962e-02
195           	1.535800e-01	2.330173e-02	3.618998e-02
196           	1.511284e-01	2.286850e-02	3.625335e-02
197           	1.471458e-01	2.242803e-02	3.621486e-02
198           	1.410878e-01	2.197278e-02	3.602924e-02
199           	1.350696e-01	2.150214e-02	3.581851e-02
200           	1.319180e-01	2.105496e-02	3.552272e-02
201           	1.290338e-01	2.065801e-02	3.514525e-02
202           	1.259043e-01	2.027790e-02	3.464711e-02
203           	1.201768e-01	1.992657e-02	3.392900e-02
204           	1.141253e-01	1.962475e-02	3.335954e-02
205           	1.085035e-01	1.936619e-02	3.278073e-02
206           	1.042676e-01	1.914742e-02	3.214889e-02
207           	9.971554e-02	1.895076e-02	3.151234e-02
208           	9.534130e-02	1.877439e-02	3.092650e-02
209           	9.113376e-02	1.864300e-02	3.053724e-02
210           	8.835568e-02	1.850340e-02	3.007044e-02
