# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
118           	1.308914e-03	1.044864e-03	4.945525e-04
119           	1.271197e-03	1.018506e-03	4.900606e-04
120           	1.231754e-03	9.944738e-04	4.848864e-04
121           	1.191970e-03	9.711262e-04	4.797432e-04
122           	1.155031e-03	9.482806e-04	4.747778e-04
123           	1.122169e-03	9.259561e-04	4.694546e-04
124           	1.091195e-03	9.042339e-04	4.643523e-04
125           	1.065674e-03	8.832307e-04	4.591487e-04
126           	1.043511e-03	8.629564e-04	4.534794e-04
127           	1.021528e-03	8.433602e-04	4.473142e-04
128           	9.991273e-04	8.243859e-04	4.406631e-04
129           	9.778570e-04	8.059619e-04	4.335403e-04
130           	9.582204e-04	7.881214e-04	4.259614e-04
131           	9.386652e-04	7.708347e-04	4.179819e-04
132           	9.191028e-04	7.540721e-04	4.096742e-04
133           	8.982256e-04	7.378344e-04	4.011220e-04
134           	8.747081e-04	7.220157e-04	3.912946e-04
135           	8.536547e-04	7.066697e-04	3.835068e-04
136           	8.378593e-04	6.916440e-04	3.753661e-04
137           	8.186557e-04	6.768247e-04	3.652543e-04
138           	7.996319e-04	6.623274e-04	3.555846e-04
139           	7.785838e-04	6.481384e-04	3.476156e-04
140           	7.622637e-04	6.342457e-04	3.380097e-04
141           	7.446031e-04	6.205150e-04	3.284321e-04
142           	7.277163e-04	6.069047e-04	3.192118e-04
143           	7.113478e-04	5.933977e-04	3.102566e-04
144           	6.955487e-04	5.800128e-04	3.013866e-04
145           	6.795319e-04	5.667687e-04	2.925162e-04
146           	6.627486e-04	5.536823e-04	2.836775e-04
147           	6.453866e-04	5.407513e-04	2.749580e-04
148           	6.286236e-04	5.279595e-04	2.664225e-04
149           	6.117142e-04	5.153063e-04	2.581020e-04
150           	5.949889e-04	5.027836e-04	2.499924e-04
151           	5.786077e-04	4.904076e-04	2.420869e-04
152           	5.623571e-04	4.782096e-04	2.343895e-04
153           	5.465596e-04	4.662112e-04	2.269152e-04
154           	5.308526e-04	4.544302e-04	2.196783e-04
155           	5.154883e-04	4.428806e-04	2.126782e-04
156           	5.004141e-04	4.315727e-04	2.059076e-04
157           	4.856381e-04	4.205025e-04	1.993599e-04
158           	4.711201e-04	4.096679e-04	1.930336e-04
159           	4.571403e-04	3.990694e-04	1.869309e-04
160           	4.437317e-04	3.887104e-04	1.810495e-04
